mass_Msun,mass_kg,schwarzschild_radius_km,hawking_temperature_K
3.827511518605851e-17,76108918294021.77,1.1303940503213264e-16,1612032725.3930275
3.9375758632379814e-17,78297514767728.28,1.1628997866776713e-16,1566972685.5084813
4.050805230339747e-17,80549046763736.77,1.1963402615844867e-16,1523172177.866943
4.167290633647468e-17,82865324062889.81,1.2307423544869506e-16,1480595995.6315713
4.2871257040984016e-17,85248208488285.48,1.2661337177785004e-16,1439209916.0780227
4.410406765091531e-17,87699615401815.56,1.3025427990279002e-16,1398980673.0861356
4.537232909912014e-17,90221515243727.42,1.3399988638453054e-16,1359875930.4007266
4.667706081382626e-17,92815935116469.1,1.3785320194060375e-16,1321864255.639625
4.8019311538050775e-17,95484960414067.83,1.4181732386506381e-16,1284915095.0284228
4.940016017258259e-17,98230736498375.3,1.458954385180999e-16,1248998748.8412693
5.0820716643199835e-17,101055470423503.58,1.5009082388722372e-16,1214086347.5283153
5.2282122792829084e-17,103961432709856.84,1.544068522221185e-16,1180149828.5103433
5.378555329935969e-17,106950959169177.77,1.5884699274525612e-16,1147161913.6220448
5.5332216619846606e-17,110026452782066.38,1.634148144404484e-16,1115096087.185907
5.692335596187131e-17,113190385629502.25,1.68113988921606e-16,1083926574.69884
5.85602502828282e-17,116445300879895.4,1.7294829338396962e-16,1053628322.1147134
6.024421531795389e-17,119793814833291.77,1.7792161364022988e-16,1024176975.7058483
6.1976604637911e-17,123238619024346.89,1.830379472439313e-16,995548862.4875668
6.375881073679194e-17,126782482385788.66,1.8830140670271615e-16,967720971.1897846
6.559226615140168e-17,130428253474077.69,1.9371622278394684e-16,940670933.7606175
6.747844461273203e-17,134178862759079.27,1.992867479154001e-16,914377007.3869201
6.941886223054789e-17,138037324979577.56,2.0501745968375209e-16,888818057.0173973
7.141507871203197e-17,142006741566514.22,2.1091296443364998e-16,863973538.3743076
7.346869861548164e-17,146090303135926.78,2.1697800097030428e-16,839823481.439919
7.558137264004775e-17,150291292053555.75,2.232174443685251e-16,816348474.4046713
7.775479895257098e-17,154613085073218.8,2.296363098913203e-16,793529648.0639129
7.999072455256304e-17,159059156051035.03,2.362397570211484e-16,771348660.6508923
8.229094667644942e-17,163633078737719.38,2.430330936071236e-16,749787683.0935994
8.465731424218312e-17,168338529651153.88,2.500217801314506e-16,728829384.6838062
8.709172933540627e-17,173179291031575.3,2.572114340985646e-16,708456919.1466283
8.959614873834824e-17,178159253881743.3,2.6460783455048553e-16,688653911.0994767
9.217258550268181e-17,183282421094517.7,2.722169267119968e-16,669404442.8895698
9.482311056761928e-17,188552910670393.9,2.80044826769432e-16,650693041.7992834
9.75498544245278e-17,193974959027540.78,2.8809782678684887e-16,632504667.609222
1.0035500882941986e-16,199552924407036.5,2.96382399763595e-16,614824700.508879
1.0324082856468833e-16,205291290376025.8,3.0490520483730916e-16,597638929.3452221
1.062096332514964e-16,211194669431603.03,3.136730926365242e-16,580933540.1997979
1.0926380921429086e-16,217267806708340.94,3.2269311078720706e-16,564695105.28509
1.1240581139892649e-16,223515583792423.34,3.3197250957763163e-16,548910572.1512831
1.156381653459558e-16,229943022645472.72,3.415187477861726e-16,533567253.19468075
1.1896346922065156e-16,236555289641189.0,3.5133949867665117e-16,518652815.45944494
1.2238439590141647e-16,243357699718089.6,3.614426561661175e-16,504155270.7243444
1.259036951282397e-16,250355720651650.8,3.718363411699721e-16,490062965.8666366
1.2952419571293782e-16,257554977449305.47,3.8252890812955722e-16,476364573.49528885
1.3324880781295287e-16,264961256871822.38,3.9352895172745446e-16,463049082.8460241
1.3708052527053618e-16,272580512084703.06,4.0484531379588845e-16,450105790.9308711
1.4102242801919867e-16,280418867443335.97,4.16487090423791e-16,437524293.9351042
1.450776845593577e-16,288482623415746.0,4.28463639268227e-16,425294478.8546681
1.4924955450518322e-16,296778261646921.7,4.407845870760947e-16,413406515.3673284
1.5354139120466663e-16,305312450168743.44,4.53459837422079e-16,401850847.9310865
1.5795664443504757e-16,314092048759759.06,4.66499578669161e-16,390618188.10341686
1.62498863175741e-16,323124114459065.7,4.799142921580132e-16,379699507.0752291
1.671716984610065e-16,332415907238757.6,4.937147606318996e-16,369086028.41351104
1.7197890631464945e-16,341974895839491.0,5.079120769038444e-16,358769221.0068333
1.7692435076910837e-16,351808763773848.94,5.225176527730222e-16,348740792.208051
1.8201200697137113e-16,361925415502362.3,5.375432281975816e-16,338992681.16866016
1.8724596437818613e-16,372332982787091.75,5.530008807311889e-16,329517052.3595114
1.926304300431786e-16,383039831227959.4,5.689030352309982e-16,320306289.27259094
1.9816973199846767e-16,394054566986993.0,5.852624738447134e-16,311352988.29889446
2.0386832273354607e-16,405386043705974.4,6.02092346284902e-16,302649952.77739257
2.097307827741861e-16,417043369622985.8,6.194061803987175e-16,294190187.2103638
