z,score,contributing_lines
2.146,-0.5322464924798277,5
2.1465,-0.5733881967259017,5
2.147,-0.6030244166353008,5
2.1475,-0.5928378542888694,5
2.148,-0.5880089093849484,5
2.1485,-0.5819128718241342,5
2.149,-0.555380913845134,5
2.1494999999999997,-0.5301609080536728,5
2.15,-0.5194245048581024,5
2.1505,-0.5071913726578712,5
2.151,-0.4937999620653211,5
2.1515,-0.4625670756359737,5
2.152,-0.4261056185124413,5
2.1525,-0.37033623865828713,5
2.153,-0.31357096313099964,5
2.1535,-0.283916769706715,5
2.154,-0.36074352727129916,5
2.1545,-0.4312033675864421,5
2.155,-0.5043398226752216,5
2.1555,-0.598868221789502,5
2.156,-0.6998152457068355,5
2.1565,-0.7969322998936226,5
2.157,-0.8436680700436592,5
2.1574999999999998,-0.8461950064345575,5
2.158,-0.850833183031859,5
2.1585,-0.8450440981044803,5
2.159,-0.8432505817484793,5
2.1595,-0.8347309638592785,5
2.16,-0.7815619759170312,5
2.1605,-0.6319739182916978,5
2.161,-0.49518003864115384,5
2.1615,-0.3716825418303519,5
2.162,-0.2551620639861202,5
2.1625,-0.1526367278420162,5
2.163,-0.045876862209714,5
2.1635,-0.055816495174236674,5
2.164,-0.10907639613918899,5
2.1645,-0.13887350023164807,5
2.165,-0.221066254888016,5
2.1654999999999998,-0.35280022652457277,5
2.166,-0.4897947028000314,5
2.1665,-0.6465439869801384,5
2.167,-0.7974966057286934,5
2.1675,-0.9355270778237924,5
2.168,-1.0457267262141916,5
2.1685,-1.0805707626518168,5
2.169,-1.0973635888104536,5
2.1695,-1.1087210954276738,5
2.17,-0.9785709581207561,5
2.1705,-0.7985065548507222,5
2.171,-0.6541471350057422,5
2.1715,-0.53622393703905,5
2.172,-0.4599330551971749,5
2.1725,-0.40677817206045563,5
2.173,-0.35812798818177605,5
2.1734999999999998,-0.3896205877271148,5
2.174,-0.41175672953699727,5
2.1745,-0.4167096117597174,5
2.175,-0.4576477472861049,5
2.1755,-0.5021932601148179,5
2.176,-0.5518494368399386,5
2.1765,-0.6878330661844778,5
2.177,-0.832118383156531,5
2.1775,-0.9291640269921733,5
2.178,-0.966934708845603,5
2.1785,-0.9369139488905052,5
2.179,-0.9223576321931574,5
2.1795,-0.8910251719294686,5
2.18,-0.749656265514569,5
2.1805,-0.6400529977450865,5
2.181,-0.5585159232880385,5
2.1814999999999998,-0.4937466118572289,5
2.182,-0.44421383378248064,5
2.1825,-0.40124768194714155,5
2.183,-0.39693149451422166,5
2.1835,-0.40615356995061014,5
2.184,-0.4340287306963926,5
2.1845,-0.45449856237348707,5
2.185,-0.4557932023088687,5
2.1855,-0.4093144449749322,5
2.186,-0.37941127721439555,5
2.1865,-0.41596940611534167,5
2.187,-0.40512554880372603,5
2.1875,-0.3666272192066679,5
2.188,-0.31989641882721226,5
2.1885,-0.28260479294942936,5
2.189,-0.24508118958654548,5
2.1895,-0.14137751366910592,5
2.19,-0.03603475452193449,5
2.1905,0.06374998539425288,5
2.191,0.1797677961995734,5
2.1915,0.28759503471728126,5
2.192,0.4097060096888814,5
2.1925,0.48189164546986024,5
2.193,0.508155098966713,5
2.1935000000000002,0.48640845758939666,5
2.194,0.4464922316602903,5
2.1945,0.39433169197807455,5
2.195,0.3483442297813011,5
2.1955,0.3136716462306196,5
2.196,0.2917971104189414,5
2.1965,0.26907219512442593,5
2.197,0.23146100732356836,5
2.1975,0.16056293907343813,5
2.198,0.10040387510464785,5
2.1985,0.04874215579487893,5
2.199,0.03505773063859157,5
2.1995,0.0827480421716858,5
2.2,0.11260374071907396,5
2.2005,0.11894552825590277,5
2.201,0.16776010093851906,5
2.2015,0.22959097100588188,5
2.202,0.2915228474139421,5
2.2025,0.30119901082335493,5
2.203,0.28687156064877495,5
2.2035,0.25915302315335437,5
2.2039999999999997,0.1953007988520733,5
2.2045,0.11440587054672925,5
2.205,0.05282775232921799,5
2.2055,0.06267603230646575,5
2.206,0.11568633443547924,5
2.2065,0.2106675489866704,5
2.207,0.2762746191462037,5
