mass_Msun,mass_kg,schwarzschild_radius_km,schwarzschild_radius_AU,hawking_temperature_K,temperature_relative_to_CMB
6.695156507589769e-17,133131178606470.27,1.9773069382966207e-16,1.321748049650964e-24,921572754.5453002,338129794.3662815
6.890741279326962e-17,137020323117032.84,2.0350697591870221e-16,1.3603601105179516e-24,895415104.8048118,328532417.833356
7.092039644598786e-17,141023080720953.47,2.0945199981573182e-16,1.4001001407016138e-24,869999906.0933692,319207450.4103355
7.299218513900368e-17,145142770383354.66,2.1557069495413634e-16,1.4410010914288793e-24,845306084.899545,310147160.1172427
7.512449673662314e-17,149382808025873.0,2.218681347702238e-16,1.483096876526758e-24,821313165.8562565,301344034.4363444
7.731909928690605e-17,153746709359034.06,2.2834954090995873e-16,1.5264224005426218e-24,798001254.7632322,292790774.0830058
7.957781248768148e-17,158238092797380.0,2.3502028755860316e-16,1.5710135876860657e-24,775351022.0913037,284480286.95333105
8.19025091953842e-17,162860682459745.62,2.418859058968228e-16,1.616907411616139e-24,753343686.9549686,276405682.2436135
8.429511697796833e-17,167618311257180.7,2.4895208868696824e-16,1.66414192609874e-24,731961001.5398672,268560264.73669684
8.675761971319213e-17,172514924071091.16,2.562246949933521e-16,1.712756296559722e-24,711185235.9722117,260937529.25049046
8.929205923358737e-17,177554581024211.47,2.63709755040402e-16,1.7627908325596377e-24,690999163.6177331,253531155.24407747
9.190053701948265e-17,182741460847130.66,2.7141347521273313e-16,1.814287021217162e-24,671386046.7978939,246335001.57691944
9.458521594149138e-17,188079864343177.34,2.7934224320130643e-16,1.867287561609033e-24,652329622.9114798,239343101.41679686
9.734832205389563e-17,193574217954509.84,2.875026332998996e-16,1.9218364001747763e-24,633814090.9501671,232549657.29230127
1.0019214644042432e-16,199229077432390.53,2.9590141185631694e-16,1.977978767155788e-24,615824098.396795,225949036.28574392
1.0311904711394699e-16,205049131614670.16,3.0454554288282947e-16,2.0357612140988146e-24,598344728.4955454,219535765.36251897
1.0613145097167187e-16,211039206313640.38,3.1344219383053863e-16,2.0952316524551887e-24,581361487.8833876,213304526.8330169
1.0923185580745088e-16,217204268317441.84,3.225987415323954e-16,2.156439393307457e-24,564860294.5726502,207250153.9433683
1.1242283238287604e-16,223549429508377.53,3.3202277831985137e-16,2.2194351882566694e-24,548827466.2746538,201367626.5913241
1.1570702655887837e-16,230079951101532.88,3.4172211831819373e-16,2.284271271504092e-24,533249709.0547659,195652067.16373727
1.1908716148959231e-16,236801248007209.62,3.5170480392577113e-16,2.3510014031621584e-24,518114106.3094893,190098736.49219936
1.2256603988031628e-16,243718893320812.5,3.619791124825176e-16,2.4196809138307982e-24,503408108.05638915,184703029.92345962
1.2614654631142729e-16,250838622943883.8,3.725535631332615e-16,2.4903667504758242e-24,489119520.52804357,179460473.5013919
